response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0074,0.0000,0.0000,0.0000,0.0022,0.0051,200,0.0279
0.0074,0.0000,0.0000,0.0000,0.0024,0.0050,200,0.0279
0.0074,0.0000,0.0000,0.0000,0.0025,0.0048,200,0.0280
0.0352,0.0039,0.0008,0.0000,0.0267,0.0047,200,0.0002
0.0075,0.0000,0.0000,0.0000,0.0018,0.0057,200,0.0295
0.0075,0.0000,0.0000,0.0000,0.0019,0.0056,200,0.0295
0.0075,0.0000,0.0000,0.0000,0.0021,0.0054,200,0.0295
0.0075,0.0000,0.0000,0.0000,0.0025,0.0050,200,0.0296
0.0076,0.0000,0.0000,0.0000,0.0022,0.0054,200,0.0296
0.0369,0.0038,0.0007,0.0000,0.0283,0.0049,200,0.0003
0.0076,0.0000,0.0000,0.0000,0.0024,0.0052,200,0.0296
0.0078,0.0000,0.0000,0.0000,0.0027,0.0051,200,0.0308
0.0078,0.0000,0.0000,0.0000,0.0029,0.0049,200,0.0308
0.0078,0.0000,0.0000,0.0000,0.0031,0.0047,200,0.0308
0.0079,0.0000,0.0000,0.0000,0.0033,0.0045,200,0.0309
0.0078,0.0000,0.0000,0.0000,0.0035,0.0043,200,0.0309
0.0078,0.0000,0.0000,0.0000,0.0037,0.0042,200,0.0309
0.0078,0.0000,0.0000,0.0000,0.0038,0.0040,200,0.0310
0.0078,0.0000,0.0000,0.0000,0.0040,0.0039,200,0.0310
0.0387,0.0039,0.0006,0.0000,0.0311,0.0037,200,0.0002
0.0082,0.0000,0.0000,0.0000,0.0034,0.0048,200,0.0324
0.0081,0.0000,0.0000,0.0000,0.0036,0.0046,200,0.0324
0.0082,0.0000,0.0000,0.0000,0.0038,0.0044,200,0.0324
0.0082,0.0000,0.0000,0.0000,0.0039,0.0042,200,0.0325
0.0082,0.0000,0.0000,0.0000,0.0041,0.0041,200,0.0325
0.0082,0.0000,0.0000,0.0000,0.0042,0.0039,200,0.0325
0.0405,0.0037,0.0006,0.0000,0.0328,0.0038,200,0.0002
0.0076,0.0000,0.0000,0.0000,0.0023,0.0052,200,0.0352
0.0076,0.0000,0.0000,0.0000,0.0025,0.0051,200,0.0353
0.0076,0.0000,0.0000,0.0000,0.0027,0.0049,200,0.0353
0.0076,0.0000,0.0000,0.0000,0.0028,0.0048,200,0.0353
0.0076,0.0000,0.0000,0.0000,0.0030,0.0046,200,0.0354
0.0428,0.0039,0.0004,0.0000,0.0345,0.0044,200,0.0002
0.0082,0.0000,0.0000,0.0000,0.0022,0.0060,200,0.0370
0.0082,0.0000,0.0000,0.0000,0.0023,0.0058,200,0.0370
0.0080,0.0000,0.0000,0.0000,0.0023,0.0057,200,0.0372
0.0080,0.0000,0.0000,0.0000,0.0025,0.0055,200,0.0372
0.0082,0.0000,0.0000,0.0004,0.0025,0.0054,200,0.0371
0.0081,0.0000,0.0000,0.0004,0.0025,0.0052,200,0.0372
0.0082,0.0000,0.0000,0.0004,0.0027,0.0050,200,0.0372
0.0451,0.0039,0.0005,0.0000,0.0364,0.0049,200,0.0002
0.0085,0.0000,0.0000,0.0000,0.0024,0.0061,200,0.0386
0.0085,0.0000,0.0000,0.0000,0.0026,0.0059,200,0.0387
0.0085,0.0000,0.0000,0.0000,0.0028,0.0057,200,0.0387
0.0085,0.0000,0.0000,0.0000,0.0029,0.0056,200,0.0387
0.0085,0.0000,0.0000,0.0000,0.0031,0.0054,200,0.0387
0.0085,0.0000,0.0000,0.0000,0.0032,0.0053,200,0.0388
0.0085,0.0000,0.0000,0.0000,0.0034,0.0051,200,0.0388
0.0085,0.0000,0.0000,0.0000,0.0036,0.0050,200,0.0388
0.0085,0.0000,0.0000,0.0000,0.0037,0.0048,200,0.0389
0.0472,0.0035,0.0007,0.0000,0.0389,0.0047,200,0.0003
0.0095,0.0000,0.0000,0.0000,0.0030,0.0065,200,0.0405
0.0095,0.0000,0.0000,0.0000,0.0033,0.0063,200,0.0406
0.0096,0.0000,0.0000,0.0000,0.0035,0.0061,200,0.0406
0.0096,0.0000,0.0000,0.0000,0.0037,0.0059,200,0.0406
0.0096,0.0000,0.0000,0.0000,0.0039,0.0057,200,0.0406
0.0095,0.0000,0.0000,0.0000,0.0040,0.0055,200,0.0407
0.0095,0.0000,0.0000,0.0000,0.0042,0.0054,200,0.0407
0.0523,0.0035,0.0007,0.0000,0.0413,0.0074,200,0.0003
0.0097,0.0000,0.0000,0.0000,0.0030,0.0067,200,0.0428
0.0098,0.0000,0.0000,0.0000,0.0032,0.0066,200,0.0428
0.0097,0.0000,0.0000,0.0000,0.0034,0.0063,200,0.0429
0.0097,0.0000,0.0000,0.0000,0.0036,0.0062,200,0.0429
0.0097,0.0000,0.0000,0.0000,0.0037,0.0060,200,0.0429
0.0097,0.0000,0.0000,0.0000,0.0039,0.0058,200,0.0430
0.0524,0.0035,0.0004,0.0000,0.0432,0.0057,200,0.0003
0.0093,0.0000,0.0000,0.0000,0.0031,0.0062,200,0.0452
0.0093,0.0000,0.0000,0.0000,0.0033,0.0060,200,0.0452
0.0093,0.0000,0.0000,0.0000,0.0035,0.0058,200,0.0452
0.0093,0.0000,0.0000,0.0000,0.0037,0.0056,200,0.0453
0.0093,0.0000,0.0000,0.0000,0.0039,0.0054,200,0.0453
0.0093,0.0000,0.0000,0.0000,0.0041,0.0052,200,0.0453
0.0093,0.0000,0.0000,0.0000,0.0043,0.0051,200,0.0453
0.0094,0.0000,0.0000,0.0000,0.0044,0.0049,200,0.0454
0.0546,0.0035,0.0005,0.0000,0.0462,0.0048,200,0.0002
0.0098,0.0000,0.0000,0.0000,0.0035,0.0063,200,0.0471
0.0098,0.0000,0.0000,0.0000,0.0037,0.0062,200,0.0472
0.0099,0.0000,0.0000,0.0000,0.0038,0.0060,200,0.0472
0.0098,0.0000,0.0000,0.0000,0.0040,0.0059,200,0.0472
0.0098,0.0000,0.0000,0.0000,0.0041,0.0057,200,0.0473
0.0098,0.0000,0.0000,0.0000,0.0043,0.0056,200,0.0473
0.0098,0.0000,0.0000,0.0000,0.0044,0.0054,200,0.0473
0.0098,0.0000,0.0000,0.0000,0.0046,0.0053,200,0.0474
0.0098,0.0000,0.0000,0.0000,0.0047,0.0051,200,0.0474
0.0098,0.0000,0.0000,0.0000,0.0048,0.0049,200,0.0474
0.0570,0.0036,0.0005,0.0000,0.0485,0.0048,200,0.0003
0.0093,0.0000,0.0000,0.0000,0.0031,0.0062,200,0.0501
0.0093,0.0000,0.0000,0.0000,0.0032,0.0061,200,0.0501
0.0093,0.0000,0.0000,0.0000,0.0034,0.0059,200,0.0501
0.0093,0.0000,0.0000,0.0000,0.0035,0.0057,200,0.0502
0.0093,0.0000,0.0000,0.0000,0.0037,0.0056,200,0.0502
0.0093,0.0000,0.0000,0.0000,0.0039,0.0054,200,0.0502
0.0093,0.0000,0.0000,0.0000,0.0040,0.0053,200,0.0503
0.0593,0.0035,0.0004,0.0000,0.0505,0.0052,200,0.0003
0.0096,0.0000,0.0000,0.0000,0.0027,0.0069,200,0.0525
0.0096,0.0000,0.0000,0.0000,0.0030,0.0066,200,0.0526
0.0096,0.0000,0.0000,0.0000,0.0031,0.0065,200,0.0526
0.0096,0.0000,0.0000,0.0000,0.0033,0.0063,200,0.0526
0.0096,0.0000,0.0000,0.0000,0.0035,0.0061,200,0.0526
0.0096,0.0000,0.0000,0.0000,0.0037,0.0059,200,0.0527
0.0096,0.0000,0.0000,0.0000,0.0038,0.0058,200,0.0527
0.0096,0.0000,0.0000,0.0000,0.0040,0.0056,200,0.0528
0.0622,0.0037,0.0005,0.0000,0.0530,0.0055,200,0.0002
0.0108,0.0000,0.0000,0.0000,0.0032,0.0076,200,0.0545
0.0108,0.0000,0.0000,0.0000,0.0033,0.0075,200,0.0545
0.0108,0.0000,0.0000,0.0000,0.0035,0.0073,200,0.0546
0.0108,0.0000,0.0000,0.0000,0.0036,0.0071,200,0.0546
0.0108,0.0000,0.0000,0.0000,0.0038,0.0070,200,0.0546
0.0108,0.0000,0.0000,0.0000,0.0039,0.0068,200,0.0546
0.0108,0.0000,0.0000,0.0000,0.0041,0.0067,200,0.0547
0.0108,0.0000,0.0000,0.0000,0.0042,0.0065,200,0.0547
0.0108,0.0000,0.0000,0.0000,0.0044,0.0064,200,0.0547
0.0653,0.0036,0.0005,0.0000,0.0554,0.0063,200,0.0003
0.0107,0.0000,0.0000,0.0000,0.0030,0.0077,200,0.0570
0.0107,0.0000,0.0000,0.0000,0.0031,0.0076,200,0.0570
0.0107,0.0000,0.0000,0.0000,0.0033,0.0074,200,0.0570
0.0107,0.0000,0.0000,0.0000,0.0035,0.0072,200,0.0571
0.0107,0.0000,0.0000,0.0000,0.0036,0.0071,200,0.0571
0.0107,0.0000,0.0000,0.0000,0.0038,0.0069,200,0.0571
0.0107,0.0000,0.0000,0.0000,0.0039,0.0068,200,0.0572
0.0107,0.0000,0.0000,0.0000,0.0041,0.0066,200,0.0572
0.0107,0.0000,0.0000,0.0000,0.0042,0.0065,200,0.0572
0.0107,0.0000,0.0000,0.0000,0.0044,0.0063,200,0.0572
0.0107,0.0000,0.0000,0.0000,0.0046,0.0061,200,0.0573
0.0678,0.0036,0.0005,0.0000,0.0582,0.0059,200,0.0003
0.0108,0.0000,0.0000,0.0000,0.0041,0.0067,200,0.0594
0.0108,0.0000,0.0000,0.0000,0.0044,0.0064,200,0.0594
0.0109,0.0000,0.0000,0.0000,0.0046,0.0062,200,0.0594
0.0109,0.0000,0.0000,0.0000,0.0048,0.0061,200,0.0595
0.0108,0.0000,0.0000,0.0000,0.0049,0.0059,200,0.0595
0.0108,0.0000,0.0000,0.0000,0.0051,0.0057,200,0.0595
0.0108,0.0000,0.0000,0.0000,0.0052,0.0056,200,0.0596
0.0108,0.0000,0.0000,0.0000,0.0054,0.0054,200,0.0596
0.0702,0.0035,0.0005,0.0000,0.0613,0.0052,200,0.0003
0.0110,0.0000,0.0000,0.0000,0.0039,0.0071,200,0.0622
0.0110,0.0000,0.0000,0.0000,0.0040,0.0070,200,0.0622
