response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.0212,0.0000,0.0000,0.0000,1.0130,0.0082,200,1.0269
1.0212,0.0000,0.0000,0.0000,1.0130,0.0081,200,1.0269
1.0212,0.0000,0.0000,0.0000,1.0131,0.0081,200,1.0270
1.0212,0.0000,0.0000,0.0000,1.0132,0.0080,200,1.0270
1.0212,0.0000,0.0000,0.0000,1.0133,0.0080,200,1.0271
1.0212,0.0000,0.0000,0.0000,1.0133,0.0079,200,1.0272
1.0236,0.0000,0.0000,0.0000,1.0133,0.0103,200,1.0272
1.0236,0.0000,0.0000,0.0000,1.0159,0.0077,200,1.0273
1.0237,0.0000,0.0000,0.0000,1.0159,0.0078,200,1.0273
1.0236,0.0000,0.0000,0.0000,1.0160,0.0077,200,1.0273
1.0236,0.0000,0.0000,0.0000,1.0160,0.0076,200,1.0274
1.0236,0.0000,0.0000,0.0000,1.0161,0.0075,200,1.0274
1.0237,0.0000,0.0000,0.0000,1.0162,0.0075,200,1.0275
1.0237,0.0000,0.0000,0.0000,1.0163,0.0074,200,1.0275
1.0200,0.0000,0.0000,0.0000,1.0100,0.0100,200,1.0339
1.0188,0.0000,0.0000,0.0000,1.0075,0.0113,200,2.0378
1.0161,0.0000,0.0000,0.0000,1.0059,0.0101,200,2.0407
1.0161,0.0000,0.0000,0.0000,1.0066,0.0095,200,2.0408
1.0161,0.0000,0.0000,0.0000,1.0071,0.0089,200,2.0408
1.0182,0.0000,0.0000,0.0000,1.0075,0.0107,200,2.0409
1.0182,0.0000,0.0000,0.0000,1.0082,0.0101,200,2.0410
1.0183,0.0000,0.0000,0.0000,1.0084,0.0099,200,2.0410
1.0182,0.0000,0.0000,0.0000,1.0085,0.0097,200,2.0412
1.0184,0.0000,0.0000,0.0000,1.0087,0.0097,200,2.0412
1.0183,0.0000,0.0000,0.0000,1.0089,0.0094,200,2.0413
1.0183,0.0000,0.0000,0.0000,1.0093,0.0090,200,2.0414
1.0157,0.0000,0.0000,0.0000,1.0070,0.0087,200,2.0440
1.0157,0.0000,0.0000,0.0000,1.0073,0.0085,200,2.0440
1.0158,0.0000,0.0000,0.0000,1.0074,0.0084,200,2.0441
1.0158,0.0000,0.0000,0.0000,1.0076,0.0082,200,2.0442
1.0187,0.0000,0.0000,0.0000,1.0077,0.0110,200,2.0442
1.0187,0.0000,0.0000,0.0000,1.0090,0.0097,200,2.0443
1.0187,0.0000,0.0000,0.0000,1.0093,0.0094,200,2.0444
1.0187,0.0000,0.0000,0.0000,1.0094,0.0093,200,2.0444
1.0187,0.0000,0.0000,0.0000,1.0095,0.0091,200,2.0445
1.0187,0.0000,0.0000,0.0000,1.0096,0.0091,200,2.0446
1.0187,0.0000,0.0000,0.0000,1.0097,0.0090,200,2.0446
1.0187,0.0000,0.0000,0.0000,1.0098,0.0088,200,2.0447
1.0187,0.0000,0.0000,0.0000,1.0099,0.0088,200,2.0448
1.0160,0.0000,0.0000,0.0000,1.0073,0.0087,200,2.0475
1.0160,0.0000,0.0000,0.0000,1.0073,0.0086,200,2.0476
1.0161,0.0000,0.0000,0.0000,1.0074,0.0086,200,2.0476
1.0160,0.0000,0.0000,0.0000,1.0075,0.0085,200,2.0477
1.0161,0.0000,0.0000,0.0000,1.0076,0.0084,200,2.0477
1.0161,0.0000,0.0000,0.0000,1.0077,0.0084,200,2.0477
1.0161,0.0000,0.0000,0.0000,1.0078,0.0083,200,2.0478
1.0161,0.0000,0.0000,0.0000,1.0078,0.0083,200,2.0479
1.0161,0.0000,0.0000,0.0000,1.0079,0.0081,200,2.0479
1.0161,0.0000,0.0000,0.0000,1.0080,0.0081,200,2.0480
1.0161,0.0000,0.0000,0.0000,1.0080,0.0081,200,2.0481
1.0161,0.0000,0.0000,0.0000,1.0082,0.0080,200,2.0481
1.0161,0.0000,0.0000,0.0000,1.0082,0.0079,200,2.0481
1.0190,0.0000,0.0000,0.0000,1.0083,0.0107,200,2.0482
1.0190,0.0000,0.0000,0.0000,1.0099,0.0091,200,2.0482
1.0190,0.0000,0.0000,0.0000,1.0099,0.0091,200,2.0483
1.0190,0.0000,0.0000,0.0000,1.0098,0.0092,200,2.0484
1.0167,0.0000,0.0000,0.0000,1.0074,0.0092,200,2.0508
1.0167,0.0000,0.0000,0.0000,1.0075,0.0092,200,2.0509
1.0166,0.0000,0.0000,0.0000,1.0074,0.0092,200,2.0510
1.0167,0.0000,0.0000,0.0000,1.0075,0.0092,200,2.0510
1.0167,0.0000,0.0000,0.0000,1.0075,0.0092,200,2.0510
1.0168,0.0000,0.0000,0.0000,1.0076,0.0092,200,2.0511
1.0168,0.0000,0.0000,0.0000,1.0076,0.0092,200,2.0511
1.0168,0.0000,0.0000,0.0000,1.0077,0.0091,200,2.0512
1.0207,0.0000,0.0000,0.0000,1.0051,0.0156,200,2.0539
1.0155,0.0000,0.0000,0.0000,1.0080,0.0075,200,3.0566
1.0155,0.0000,0.0000,0.0000,1.0085,0.0069,200,3.0568
1.0155,0.0000,0.0000,0.0000,1.0089,0.0065,200,3.0568
1.0176,0.0000,0.0000,0.0000,1.0093,0.0083,200,3.0569
1.0153,0.0000,0.0000,0.0000,1.0082,0.0071,200,3.0592
1.0154,0.0000,0.0000,0.0000,1.0081,0.0073,200,3.0591
1.0153,0.0000,0.0000,0.0000,1.0087,0.0066,200,3.0593
1.0154,0.0000,0.0000,0.0000,1.0089,0.0065,200,3.0593
1.0152,0.0000,0.0000,0.0000,1.0089,0.0063,200,3.0596
1.0152,0.0000,0.0000,0.0000,1.0091,0.0061,200,3.0596
1.0153,0.0000,0.0000,0.0000,1.0093,0.0060,200,3.0597
1.0152,0.0000,0.0000,0.0000,1.0094,0.0058,200,3.0597
1.0156,0.0000,0.0000,0.0000,1.0096,0.0060,200,3.0598
1.0155,0.0000,0.0000,0.0000,1.0096,0.0059,200,3.0599
1.0202,0.0000,0.0000,0.0000,1.0098,0.0104,200,3.0600
1.0174,0.0000,0.0000,0.0000,1.0085,0.0089,200,3.0629
1.0174,0.0000,0.0000,0.0000,1.0088,0.0086,200,3.0630
1.0215,0.0000,0.0000,0.0000,1.0089,0.0126,200,3.0630
1.0215,0.0000,0.0000,0.0000,1.0099,0.0116,200,3.0631
1.0215,0.0000,0.0000,0.0000,1.0099,0.0115,200,3.0631
1.0214,0.0000,0.0000,0.0000,1.0099,0.0115,200,3.0632
1.0215,0.0000,0.0000,0.0000,1.0100,0.0114,200,3.0633
