response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.0233,0.0000,0.0000,0.0000,1.0233,0.0000,200,1.0200
1.0233,0.0000,0.0000,0.0000,1.0233,0.0000,200,1.0201
1.0232,0.0000,0.0000,0.0000,1.0232,0.0000,200,1.0203
1.0231,0.0000,0.0000,0.0000,1.0231,0.0000,200,1.0204
1.0231,0.0000,0.0000,0.0000,1.0230,0.0000,200,1.0206
1.0230,0.0000,0.0000,0.0000,1.0229,0.0000,200,1.0207
1.0229,0.0000,0.0000,0.0000,1.0229,0.0000,200,1.0208
1.0229,0.0000,0.0000,0.0000,1.0228,0.0000,200,1.0210
1.0228,0.0000,0.0000,0.0000,1.0227,0.0000,200,1.0211
1.0227,0.0000,0.0000,0.0000,1.0226,0.0000,200,1.0212
1.0226,0.0000,0.0000,0.0000,1.0226,0.0000,200,1.0214
1.0225,0.0000,0.0000,0.0000,1.0225,0.0000,200,1.0215
1.0224,0.0000,0.0000,0.0000,1.0224,0.0000,200,1.0216
1.0223,0.0000,0.0000,0.0000,1.0223,0.0000,200,1.0218
1.0222,0.0000,0.0000,0.0000,1.0222,0.0000,200,1.0219
1.0081,0.0000,0.0000,0.0000,1.0078,0.0002,200,2.0177
1.0073,0.0000,0.0000,0.0000,1.0072,0.0001,200,2.0216
1.0060,0.0000,0.0000,0.0000,1.0059,0.0001,200,2.0233
1.0164,0.0000,0.0000,0.0000,1.0163,0.0000,200,2.0250
1.0175,0.0000,0.0000,0.0000,1.0175,0.0000,200,2.0251
1.0176,0.0000,0.0000,0.0000,1.0176,0.0000,200,2.0252
1.0176,0.0000,0.0000,0.0000,1.0176,0.0000,200,2.0253
1.0167,0.0000,0.0000,0.0000,1.0167,0.0000,200,2.0270
1.0141,0.0000,0.0000,0.0000,1.0141,0.0000,200,2.0298
1.0118,0.0000,0.0000,0.0000,1.0118,0.0000,200,2.0323
1.0099,0.0000,0.0000,0.0000,1.0098,0.0001,200,2.0343
1.0087,0.0000,0.0000,0.0000,1.0087,0.0000,200,2.0363
1.0079,0.0000,0.0000,0.0000,1.0078,0.0000,200,2.0373
1.0038,0.0000,0.0000,0.0000,1.0038,0.0000,200,2.0415
1.0039,0.0000,0.0000,0.0000,1.0039,0.0000,200,2.0415
1.0040,0.0000,0.0000,0.0000,1.0040,0.0000,200,2.0415
1.0042,0.0000,0.0000,0.0000,1.0041,0.0000,200,2.0416
1.0091,0.0000,0.0000,0.0000,1.0073,0.0018,200,2.0426
1.0109,0.0000,0.0000,0.0000,1.0091,0.0018,200,2.0426
1.0118,0.0000,0.0000,0.0000,1.0118,0.0000,200,2.0426
1.0118,0.0000,0.0000,0.0000,1.0118,0.0000,200,2.0427
1.0118,0.0000,0.0000,0.0000,1.0118,0.0000,200,2.0427
1.0118,0.0000,0.0000,0.0000,1.0118,0.0000,200,2.0428
1.0118,0.0000,0.0000,0.0000,1.0118,0.0000,200,2.0428
1.0118,0.0000,0.0000,0.0000,1.0118,0.0000,200,2.0429
